"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";"36942,34";"34";"Não competitivo";"1452";"37064,15";"9";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"44"
"1,3121289";"459057,38";"16";"Não competitivo";"5887";"463549,88";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"31"
"1,3121289";"200";"119";"Não competitivo";"571";"7200";"17";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"135"
"1,3121289";"1774697,52";"10";"Competitivo";"38880";"1873551,52";"17";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"24"
"1,3121289";"39600";"53";"Não competitivo";"8929";"52300";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"34"
"1,3121289";"500";"71";"Não competitivo";"550";"500";"9";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"55"
"1,3121289";"10482,5";"77";"Não competitivo";"577";"15027,95";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MS";"93"
"1,3121289";"5862,43";"98";"Não competitivo";"904";"5912,43";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"83"
"1,3121289";"1877,76";"170";"Não competitivo";"94";"2403,76";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"193"
"1,3121289";"5588,87";"50";"Não competitivo";"4386";"5588,87";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"33"
"1,3121289";;"75";"Não competitivo";"14012";"37838,25";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"25"
"1,3121289";"3501,87";"147";"Não competitivo";"476";"3501,87";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"126"
"1,3121289";"9211,46";"89";"Não competitivo";"1415";"10811,46";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"71"
"1,3121289";"2606,47";"121";"Não competitivo";"611";"2606,47";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"91"
"1,3121289";"150000";"39";"Não competitivo";"9087";"150000";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"35"
"1,3121289";"74500";"31";"Não competitivo";"23665";"262599";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"20"
"1,3121289";"6400";"81";"Não competitivo";"1811";"14331,3";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"69"
"1,3121289";;"19";"Competitivo";"65107";"530718";"8";"ELEITO POR MÉDIA";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"6"
"1,3121289";"45000";"62";"Não competitivo";"7438";"45000";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"39"
"1,3121289";"1250";"110";"Não competitivo";"632";"4694,48";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"90"
"1,3121289";;"161";"Não competitivo";"489";"2299,09";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"125"
"1,3121289";"8750";"125";"Não competitivo";"604";"8750";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"117"
"1,3121289";"18036";"76";"Não competitivo";"5286";"34355,19";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"53"
"1,3121289";"351170";"24";"Competitivo";"27801";"779250,6";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"31"
"1,3121289";"654173,85";"14";"Não competitivo";"11134";"666054,22";"9";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"20"
"1,3121289";"84919,77";"48";"Não competitivo";"6837";"101344,85";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"DF";"40"
"1,3121289";"10000";"23";"Não competitivo";"6712";"450822,45";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"40"
"1,3121289";"900000";"9";"Competitivo";"20280";"949674,83";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"16"
"1,3121289";"100000";"53";"Não competitivo";"641";"100000";"17";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"131"
"1,3121289";"2250";"160";"Não competitivo";"422";"2350";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"132"
"1,3121289";"27070";"69";"Não competitivo";"19796";"37220";"17";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"37"
"1,3121289";;"117";"Não competitivo";"1688";"800";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"70"
"1,3121289";;"29";"Competitivo";"30401";"461307,19";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"29"
"1,3121289";"741886,31";"9";"Competitivo";"80500";"833539,3";"8";"ELEITO POR QP";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"3"
"1,3121289";;"168";"Não competitivo";"516";"1909,09";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"122"
"1,3121289";;"75";"Não competitivo";"501";"477";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"57"
"1,3121289";"600000";"15";"Competitivo";"55474";"647564,52";"9";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"9"
"1,3121289";"132192,29";"8";"Competitivo";"31379";"1381030,8";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"11"
"1,3121289";"11697,86";"35";"Não competitivo";"522";"34247,86";"9";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"56"
"1,3121289";;"117";"Não competitivo";"1690";"2899,16";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"64"
"1,3121289";"21796,67";"78";"Não competitivo";"595";"28696,67";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"134"
"1,3121289";;"163";"Não competitivo";"1982";"2898,69";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"88"
"1,3121289";"2352";"167";"Não competitivo";"230";"2702";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"176"
"1,3121289";"23166,67";"72";"Não competitivo";"1769";"31715,52";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"96"
"1,3121289";"750000";"12";"Competitivo";"12508";"788447,2";"9";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"18"
"1,3121289";"2700";"158";"Não competitivo";"228";"2700";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"152"
"1,3121289";"50000";"67";"Não competitivo";"1141";"53814,12";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"99"
"1,3121289";"450000";"17";"Não competitivo";"233";"450000";"9";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"AL";"65"
"1,3121289";"22000";"58";"Não competitivo";"622";"26080";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MS";"91"
"1,3121289";;"178";"Não competitivo";"2160";"560,46";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"78"
"1,3121289";"500";"62";"Não competitivo";"2661";"1780";"9";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"AL";"36"
"1,3121289";"79796,88";"47";"Não competitivo";"645";"79796,88";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MT";"88"
